job_title,role_clean,seniority_clean,company_name_clean,company_rating,industry,sector,city,state,company_size_clean,company_founded_year,company_revenue,min_salary_usd,max_salary_usd,avg_salary_usd,salary_outlier,description_length,skill_Python,skill_SQL,skill_Excel,skill_Tableau,skill_Power_BI,skill_Spark,skill_Hadoop,skill_AWS,skill_Azure,skill_GCP,skill_Machine_Learning,skill_Deep_Learning,skill_TensorFlow,skill_PyTorch,skill_Java,skill_SAS,skill_Scala,skill_NLP,skill_Statistics,skill_Docker,skill_Kubernetes,skill_Git,skill_NoSQL,skill_ETL,skill_A/B_Testing,skill_R
Data Scientist,Data Scientist,Not specified,Wish,3.5,Other Retail Stores,Retail,San Jose,CA,501 to 1000 employees,2011.0,$1 to $2 billion (USD),126000,201000,163500.0,False,2757,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,ManTech,4.1,Research & Development,Business Services,Chantilly,VA,5001 to 10000 employees,1968.0,$1 to $2 billion (USD),64000,106000,85000.0,False,3490,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Staff Data Scientist - Technology,Data Scientist,Not specified,Walmart,3.2,"Department, Clothing, & Shoe Stores",Retail,Plano,TX,10000+ employees,1962.0,$10+ billion (USD),106000,172000,139000.0,False,3934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Analyst,Analyst,Not specified,Yesler,4.1,Advertising & Marketing,Business Services,Seattle,WA,201 to 500 employees,2012.0,Unknown / Non-Applicable,46000,85000,65500.0,False,4897,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Data Scientist,Data Scientist,Not specified,Takeda Pharmaceuticals,3.7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1781.0,$10+ billion (USD),83000,144000,113500.0,False,3731,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Data Engineer I,Data Engineer,Not specified,Audible,3.6,Motion Picture Production & Distribution,Media,Newark,NJ,1001 to 5000 employees,1995.0,Unknown / Non-Applicable,102000,190000,146000.0,False,1889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scientist I/II, Biology",Other/Unspecified,Not specified,Blueprint Medicines,3.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,51 to 200 employees,2011.0,$1 to $5 million (USD),67000,137000,102000.0,False,3639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customer Data Scientist,Data Scientist,Not specified,h2o.ai,4.3,Enterprise Software & Network Solutions,Information Technology,Mountain View,CA,201 to 500 employees,2011.0,Unknown / Non-Applicable,118000,189000,153500.0,False,4163,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist - Health Data Analytics,Data Scientist,Not specified,Nuna,4.2,Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2010.0,Unknown / Non-Applicable,110000,175000,142500.0,False,3512,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Pinnacol Assurance,4.0,Insurance Carriers,Insurance,Denver,CO,501 to 1000 employees,1915.0,$500 million to $1 billion (USD),64000,111000,87500.0,False,4397,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Porch,3.2,Internet,Information Technology,Seattle,WA,201 to 500 employees,2012.0,Unknown / Non-Applicable,81000,130000,105500.0,False,2918,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Senior Data Scientist / Machine Learning,Data Scientist,Senior,Health IQ,3.9,Insurance Agencies & Brokerages,Insurance,Dallas,TX,201 to 500 employees,2013.0,Unknown / Non-Applicable,73000,119000,96000.0,False,6909,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist - Quantitative,Data Scientist,Not specified,Truckstop.com,3.8,Logistics & Supply Chain,Transportation & Logistics,Chicago,IL,501 to 1000 employees,1995.0,Unknown / Non-Applicable,86000,139000,112500.0,False,6408,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,SMC 3,4.3,Logistics & Supply Chain,Transportation & Logistics,Louisville,KY,51 to 200 employees,1935.0,$10 to $25 million (USD),63000,105000,84000.0,False,2907,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Novetta,4.0,Enterprise Software & Network Solutions,Information Technology,Herndon,VA,501 to 1000 employees,2012.0,$100 to $500 million (USD),109000,177000,143000.0,False,3760,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Digital Health Data Scientist,Data Scientist,Not specified,Pfizer,4.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1849.0,$10+ billion (USD),63000,110000,86500.0,False,3698,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,First Tech Federal Credit Union,3.5,Banks & Credit Unions,Finance,Hillsboro,OR,1001 to 5000 employees,1952.0,$100 to $500 million (USD),75000,124000,99500.0,False,4420,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0
Associate Data Analyst,Analyst,Not specified,The Hanover Insurance Group,3.7,Insurance Carriers,Insurance,Worcester,MA,5001 to 10000 employees,1852.0,$5 to $10 billion (USD),34000,61000,47500.0,False,4900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Data Scientist,Data Scientist,Not specified,Pfizer,4.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Groton,CT,10000+ employees,1849.0,$10+ billion (USD),63000,105000,84000.0,False,5015,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Amrock,3.6,Real Estate,Real Estate,Detroit,MI,1001 to 5000 employees,1997.0,$500 million to $1 billion (USD),72000,120000,96000.0,False,3342,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Data Scientist / Machine Learning Expert,Data Scientist,Not specified,Novartis,3.8,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1996.0,$10+ billion (USD),86000,143000,114500.0,False,5045,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Data Scientist,Data Scientist,Not specified,Juniper Networks,3.8,Telecommunications Services,Telecommunications,Sunnyvale,CA,5001 to 10000 employees,1996.0,$2 to $5 billion (USD),93000,149000,121000.0,False,2327,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,New England Biolabs,4.7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Ipswich,MA,201 to 500 employees,1974.0,Unknown / Non-Applicable,85000,140000,112500.0,False,2161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Web Data Analyst,Analyst,Not specified,Clarity Insights,4.2,IT Services,Information Technology,San Jose,CA,201 to 500 employees,2008.0,Unknown / Non-Applicable,77000,135000,106000.0,False,1739,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Data Scientist,Data Scientist,Not specified,Esri,3.5,Computer Hardware & Software,Information Technology,Redlands,CA,1001 to 5000 employees,1969.0,$1 to $2 billion (USD),82000,132000,107000.0,False,5000,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
Data Scientist,Data Scientist,Not specified,Systems & Technology Research,4.7,Aerospace & Defense,Aerospace & Defense,Woburn,MA,201 to 500 employees,2010.0,$100 to $500 million (USD),83000,137000,110000.0,False,3703,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Senior Data Scientist,Data Scientist,Senior,Sartorius,3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Fremont,CA,5001 to 10000 employees,1870.0,$1 to $2 billion (USD),115000,180000,147500.0,False,3555,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Engineer,Data Engineer,Not specified,Lancer Insurance,3.5,Insurance Carriers,Insurance,Long Beach,NY,201 to 500 employees,1985.0,$100 to $500 million (USD),74000,138000,106000.0,False,1739,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Data Analyst,Analyst,Not specified,Sauce Labs,4.2,IT Services,Information Technology,San Francisco,CA,201 to 500 employees,2008.0,$50 to $100 million (USD),64000,112000,88000.0,False,3053,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Data Engineer,Not specified,Persivia,3.6,-1,-1,Marlborough,MA,1 to 50 employees,,Less than $1 million (USD),68000,129000,98500.0,False,1996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - Algorithms & Inference,Data Scientist,Not specified,Nuna,4.2,Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2010.0,Unknown / Non-Applicable,110000,175000,142500.0,False,3833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scientist,Other/Unspecified,Not specified,Edgewell Personal Care,3.4,Consumer Products Manufacturing,Manufacturing,Allendale,NJ,5001 to 10000 employees,2015.0,$2 to $5 billion (USD),52000,113000,82500.0,False,3550,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior Data Scientist,Data Scientist,Senior,Equity Residential,4.3,Real Estate,Real Estate,Chicago,IL,1001 to 5000 employees,1993.0,$2 to $5 billion (USD),110000,150000,130000.0,False,9120,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,BPA Services,5.0,Enterprise Software & Network Solutions,Information Technology,Washington,DC,Unknown,,Unknown / Non-Applicable,150000,160000,155000.0,False,3213,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lead Data Scientist,Data Scientist,Senior,Visa Inc.,3.7,IT Services,Information Technology,Bellevue,WA,10000+ employees,1958.0,$10+ billion (USD),158000,211000,184500.0,False,7286,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Associate Data Analyst,Analyst,Not specified,Intrado,3.1,Enterprise Software & Network Solutions,Information Technology,Longmont,CO,5001 to 10000 employees,1986.0,$2 to $5 billion (USD),20000,39000,29500.0,False,3412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectral Scientist/Engineer,Other/Unspecified,Not specified,Centauri,4.7,Aerospace & Defense,Aerospace & Defense,Beavercreek,OH,501 to 1000 employees,1999.0,$100 to $500 million (USD),56000,117000,86500.0,False,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College Hire - Data Scientist - Open to December 2019 Graduates,Data Scientist,Not specified,Caterpillar,3.7,Industrial Manufacturing,Manufacturing,Peoria,IL,10000+ employees,1925.0,$10+ billion (USD),63000,99000,81000.0,False,2739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Data Scientist,Data Scientist,Not specified,Zimmerman Advertising,3.8,Advertising & Marketing,Business Services,Fort Lauderdale,FL,501 to 1000 employees,1984.0,Unknown / Non-Applicable,68000,114000,91000.0,False,2915,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Data Scientist, Office of Data Science",Data Scientist,Not specified,Liberty Mutual Insurance,3.3,Insurance Carriers,Insurance,Boston,MA,10000+ employees,1912.0,$10+ billion (USD),86000,143000,114500.0,False,4244,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Science Analyst,Analyst,Not specified,"Torch Technologies, Inc.",4.6,Aerospace & Defense,Aerospace & Defense,Huntsville,AL,1001 to 5000 employees,2002.0,$100 to $500 million (USD),41000,95000,68000.0,False,1629,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Swiss Re,3.7,Insurance Agencies & Brokerages,Insurance,Armonk,NY,10000+ employees,1863.0,$10+ billion (USD),86000,144000,115000.0,False,4734,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Northrop Grumman,3.7,Aerospace & Defense,Aerospace & Defense,San Diego,CA,10000+ employees,1939.0,$10+ billion (USD),80000,139000,109500.0,False,4448,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Sartorius,3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Albuquerque,NM,5001 to 10000 employees,1870.0,$1 to $2 billion (USD),56000,95000,75500.0,False,3543,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Netskope,4.1,Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,501 to 1000 employees,2012.0,Unknown / Non-Applicable,120000,189000,154500.0,False,4203,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,1904labs,4.7,IT Services,Information Technology,Saint Louis,MO,51 to 200 employees,2016.0,Unknown / Non-Applicable,111000,176000,143500.0,False,5020,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior Data Scientist,Data Scientist,Senior,The David J. Joseph Company,4.4,Metals Brokers,Mining & Metals,Cincinnati,OH,201 to 500 employees,1885.0,Unknown / Non-Applicable,82000,132000,107000.0,False,4804,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Data Scientist,Data Scientist,Not specified,USEReady,4.3,Consulting,Business Services,New York,NY,201 to 500 employees,2011.0,$10 to $25 million (USD),84000,146000,115000.0,False,1382,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Senior Risk Data Scientist,Data Scientist,Senior,Bill.com,3.8,Financial Transaction Processing,Finance,Palo Alto,CA,501 to 1000 employees,2006.0,$50 to $100 million (USD),107000,172000,139500.0,False,2933,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Data Scientist in Artificial Intelligence Early Career,Data Scientist,Not specified,Pacific Northwest National Laboratory,3.8,Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965.0,$500 million to $1 billion (USD),49000,85000,67000.0,False,4945,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,DICK'S Sporting Goods - Corporate,3.8,Sporting Goods Stores,Retail,Coraopolis,PA,10000+ employees,1948.0,$5 to $10 billion (USD),61000,109000,85000.0,False,2493,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Berg Health,2.8,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Framingham,MA,51 to 200 employees,2006.0,$1 to $5 million (USD),88000,148000,118000.0,False,1939,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Oversight Systems,4.7,Computer Hardware & Software,Information Technology,Atlanta,GA,51 to 200 employees,2003.0,$25 to $50 million (USD),60000,99000,79500.0,False,3081,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Data Scientist - Research,Data Scientist,Not specified,C Space,3.1,Advertising & Marketing,Business Services,Boston,MA,201 to 500 employees,1999.0,$100 to $500 million (USD),41000,72000,56500.0,False,8397,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Data Scientist,Data Scientist,Not specified,"Numeric, LLC",3.2,Staffing & Outsourcing,Business Services,Philadelphia,PA,1 to 50 employees,,$5 to $10 million (USD),96000,161000,128500.0,False,2306,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R&D Data Analysis Scientist,Other/Unspecified,Not specified,HP Inc.,4.0,Computer Hardware & Software,Information Technology,Vancouver,WA,10000+ employees,1939.0,Unknown / Non-Applicable,65000,130000,97500.0,False,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Analytics Consultant,Other/Unspecified,Not specified,SpringML,4.4,Enterprise Software & Network Solutions,Information Technology,Indianapolis,IN,1 to 50 employees,2015.0,Unknown / Non-Applicable,52000,81000,66500.0,False,1886,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Director, Data Science",Director,Not specified,Grainger,3.6,Wholesale,Business Services,Lake Forest,IL,10000+ employees,1927.0,$10+ billion (USD),139000,220000,179500.0,False,2903,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Scientist,Other/Unspecified,Not specified,EAG Laboratories,2.7,Research & Development,Business Services,Maryland Heights,MO,501 to 1000 employees,1978.0,$50 to $100 million (USD),50000,102000,76000.0,False,2653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist SR,Data Scientist,Senior,The Buffalo Group,3.9,IT Services,Information Technology,Charlottesville,VA,501 to 1000 employees,2010.0,$100 to $500 million (USD),85000,139000,112000.0,False,4427,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
Data Scientist,Data Scientist,Not specified,Carmeuse,3.1,Mining,Mining & Metals,Pittsburgh,PA,1001 to 5000 employees,1860.0,$1 to $2 billion (USD),74000,122000,98000.0,False,2609,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R&D Sr Data Scientist,Data Scientist,Senior,HP Inc.,4.0,Computer Hardware & Software,Information Technology,Vancouver,WA,10000+ employees,1939.0,Unknown / Non-Applicable,99000,157000,128000.0,False,4295,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,Not specified,h2o.ai,4.3,Enterprise Software & Network Solutions,Information Technology,Mountain View,CA,201 to 500 employees,2011.0,Unknown / Non-Applicable,79000,222000,150500.0,False,3405,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Research Scientist,Other/Unspecified,Not specified,GNS Healthcare,1.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,51 to 200 employees,2000.0,$10 to $25 million (USD),57000,118000,87500.0,False,5153,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Peraton,3.3,Aerospace & Defense,Aerospace & Defense,Chantilly,VA,1001 to 5000 employees,2017.0,$1 to $2 billion (USD),83000,137000,110000.0,False,3381,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Pactera,4.4,IT Services,Information Technology,San Jose,CA,10000+ employees,1995.0,$500 million to $1 billion (USD),86000,141000,113500.0,False,879,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Nurx,3.9,Health Care Services & Hospitals,Health Care,San Francisco,CA,51 to 200 employees,2016.0,$1 to $5 million (USD),94000,154000,124000.0,False,4189,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Jr. Business Data Analyst,Analyst,Junior,webfx.com,4.7,Advertising & Marketing,Business Services,Harrisburg,PA,201 to 500 employees,1997.0,$25 to $50 million (USD),37000,76000,56500.0,False,4424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Johns Hopkins University Applied Physics Laboratory,4.5,Aerospace & Defense,Aerospace & Defense,Laurel,MD,5001 to 10000 employees,1942.0,$1 to $2 billion (USD),100000,160000,130000.0,False,2996,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Analyst,Analyst,Not specified,Productive Edge,4.3,Computer Hardware & Software,Information Technology,Chicago,IL,51 to 200 employees,2008.0,$10 to $25 million (USD),55000,100000,77500.0,False,3682,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Data Engineer,Not specified,Excella Consulting,4.0,Consulting,Business Services,Arlington,VA,201 to 500 employees,2002.0,$50 to $100 million (USD),60000,114000,87000.0,False,3819,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Data Analyst,Analyst,Not specified,Gensco,4.4,Wholesale,Business Services,Tacoma,WA,501 to 1000 employees,1948.0,$100 to $500 million (USD),39000,68000,53500.0,False,1791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,goTRG,4.2,Enterprise Software & Network Solutions,Information Technology,Miami,FL,501 to 1000 employees,2008.0,$100 to $500 million (USD),64000,107000,85500.0,False,3204,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Data Management Specialist,Other/Unspecified,Not specified,NMR Consulting,4.5,IT Services,Information Technology,Huntsville,AL,51 to 200 employees,1996.0,$25 to $50 million (USD),31000,65000,48000.0,False,2253,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-Commerce Data Analyst,Analyst,Not specified,iSeatz,3.5,Enterprise Software & Network Solutions,Information Technology,New Orleans,LA,51 to 200 employees,1999.0,Unknown / Non-Applicable,34000,62000,48000.0,False,2772,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Scientist II,Other/Unspecified,Senior,Nektar Therapeutics,3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,San Francisco,CA,201 to 500 employees,1990.0,$100 to $500 million (USD),117000,231000,174000.0,False,4751,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Insurance Data Scientist,Data Scientist,Not specified,TransUnion,3.9,Financial Analytics & Research,Finance,Atlanta,GA,5001 to 10000 employees,1968.0,$1 to $2 billion (USD),64000,106000,85000.0,False,2380,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
